ID,Frequency,Description
ONEK900101,1,"Delta G values for the peptides extrapolated to 0 M urea (O'Neil-DeGrado,1990)"
LEVM780101,1,"Normalized frequency of alpha-helix, with weights (Levitt, 1978)"
DAWD720101,1,"Size (Dawson, 1972)"
PALJ810116,1,"Normalized frequency of turn in alpha/beta class (Palau et al., 1981)"
CHAM820101,1,"Polarizability parameter (Charton-Charton, 1982)"
MUNV940101,1,"Free energy in alpha-helical conformation (Munoz-Serrano, 1994)"
MEEJ800101,1,"Retention coefficient in HPLC, pH7.4 (Meek, 1980)"
RICJ880101,1,"Relative preference value at N"" (Richardson-Richardson, 1988)"
CHOP780213,1,"Frequency of the 2nd residue in turn (Chou-Fasman, 1978b)"
RACS820103,1,"Average relative fractional occurrence in AL(i) (Rackovsky-Scheraga, 1982)"
RICJ880113,1,"Relative preference value at C2 (Richardson-Richardson, 1988)"
PALJ810105,1,"Normalized frequency of turn from LG (Palau et al., 1981)"
PONP800103,1,"Average gain ratio in surrounding hydrophobicity (Ponnuswamy et al., 1980)"
